Metric,Value
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.891119
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,35.839699
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,1897
design__max_fanout_violation__count__corner:max_tt_025C_1v80,980
design__max_cap_violation__count__corner:max_tt_025C_1v80,23
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.739804016764812
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.9943330884551346
timing__hold__ws__corner:max_tt_025C_1v80,0.9010437095927379
timing__setup__ws__corner:max_tt_025C_1v80,34.07471024010905
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,1.414524
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,34.074711
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,2777
design__max_fanout_violation__count__corner:max_ss_100C_1v60,980
design__max_cap_violation__count__corner:max_ss_100C_1v60,111
clock__skew__worst_hold__corner:max_ss_100C_1v60,-3.2822407942802196
clock__skew__worst_setup__corner:max_ss_100C_1v60,1.6026980196618283
timing__hold__ws__corner:max_ss_100C_1v60,1.9709123779767717
timing__setup__ws__corner:max_ss_100C_1v60,29.61611306689238
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,2.615963
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,29.616114
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,1741
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,980
design__max_cap_violation__count__corner:max_ff_n40C_1v95,8
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.7633243142513004
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.7397149768757191
timing__hold__ws__corner:max_ff_n40C_1v95,0.7617959811923773
timing__setup__ws__corner:max_ff_n40C_1v95,35.79139930182513
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.861678
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,35.791401
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count,2777
design__max_fanout_violation__count,980
design__max_cap_violation__count,111
clock__skew__worst_hold,-2.57247430638537
clock__skew__worst_setup,0.655143957627671
timing__hold__ws,0.7617959811923773
timing__setup__ws,29.61611306689238
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.861678
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,29.616114
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,119758
design__instance__area__stdcell,248811
design__instance__count__macros,13
design__instance__area__macros,3.27232E+6
design__instance__utilization,0.346092
design__instance__utilization__stdcell,0.0360509
design__instance__count__class:macro,13
design__instance__count__class:inverter,469
design__instance__count__class:sequential_cell,385
design__instance__count__class:multi_input_combinational_cell,4127
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,577910
design__instance__count__class:tap_cell,95367
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,155.86
design__instance__displacement__mean,0.001
design__instance__displacement__max,58.82
route__wirelength__estimated,3.55479E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,2848
design__instance__count__class:clock_buffer,195
design__instance__count__class:clock_inverter,12
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2
antenna__violating__nets,186
antenna__violating__pins,206
route__antenna_violation__count,186
design__instance__count__class:antenna_cell,16355
antenna_diodes_count,819
route__net,9551
route__net__special,8
route__drc_errors__iter:1,2916
route__wirelength__iter:1,3975132
route__drc_errors__iter:2,688
route__wirelength__iter:2,3972678
route__drc_errors__iter:3,311
route__wirelength__iter:3,3972753
route__drc_errors__iter:4,15
route__wirelength__iter:4,3972822
route__drc_errors__iter:5,0
route__wirelength__iter:5,3972842
route__drc_errors,0
route__wirelength,3972842
route__vias,103415
route__vias__singlecut,103415
route__vias__multicut,0
design__disconnected_pin__count,296
design__critical_disconnected_pin__count,0
route__wirelength__max,6253.99
timing__unannotated_net__count__corner:nom_tt_025C_1v80,537
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,537
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,537
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,537
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,537
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,537
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,537
